Seção;Sub seção;Informação;Fonte Citada;Pagina;Só texto;Relatório;Observação;Link;Comentário relatório;Aberta;;;;;;;;;;;;;;;;;
ATENÇÃO AMBULATORIAL ESPECIALIZADA E HOSPITALAR;Produção ambulatorial especializada e hospitalar;Tipo e proporção de internações realizadas no SUS- Curitiba;CCAA/Datasus;104;N;17-2;;;;;;;;;;;;;;;;;;;;;
ATENÇÃO AMBULATORIAL ESPECIALIZADA E HOSPITALAR;Produção ambulatorial especializada e hospitalar;Número e proporção das internações realizadas no SUS-Curitiba por local de residência dos usuários;CCAA/Datasus;104;N;17-2;;;;;;;;;;;;;;;;;;;;;
URGÊNCIA E EMERGÊNCIA;Produção Urgência e Emergência;Número atendimentos médicos em Urgência e Emergência realizados na rede SUS-Curitiba por local de ocorrência;CCAA/Datasus;105;N;17-2;;;;;;;;;;;;;;;;;;;;;
URGÊNCIA E EMERGÊNCIA;Produção Urgência e Emergência;Número atendimentos em Urgência e Emergência realizados em cada UPA;CCAA/Datasus;106;N;17-2;;;;;;;;;;;;;;;;;;;;;
URGÊNCIA E EMERGÊNCIA;Produção Urgência e Emergência;Tipo de atendimento/remoção SAMU em Curitiba;SAMU;106;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Coordenação de Educação e Saúde – CES;Atividades de Educação Continuada em eventos/ Cursos com certificações realizadas para profissionais da SMS;Coordenação de Educação em Saúde;107;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Coordenação de Educação e Saúde – CES;Atividades de Educação em Serviço realizadas pelas US’s, DS’s e Diretoria à profissionais da SMS;Coordenação de Educação em Saúde;107;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Coordenação de Educação e Saúde – CES;Programa alfabetizando com saúde - Curitiba;Coordenação de Educação em Saúde;107;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Coordenação de Educação e Saúde – CES;Atividades do Comitê de Ética em pesquisa na SMS- Curitiba;SMS/CEP;108;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Coordenação de Educação e Saúde – CES;Relatório de curso/eventos custeado;Coordenação de Educação em Saúde;108;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Coordenação de Educação e Saúde – CES;RELATÓRIO DE ESTÁGIOS CURRICULARES, AULAS PRÁTICAS E VISITAS TÉCNICAS DESENVOLVIDOS NA SECRETARIA MUNICIPAL DA SAÚDE DE CURITIBA;CES/Estágios;108;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Coordenação de Educação e Saúde – CES;Relatório de Bolsas de Contrapartida de Convênios SMS- Curitiba;SMS/CES/Coordenação de Integração de Ensino e Serviço;109;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Coordenação de Educação e Saúde – CES;Residência Multiprofissional em Saúde, com ingresso em março de 2017;SMS/CES;109;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Coordenação de Educação e Saúde – CES;Residência Médica;SMS/CES;110;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Coordenação de Recursos Materiais – CRM;Série histórica de aquisição de Medicamentos em unidade;Coordenação de Recursos Materiais;111;N;17-2;2009-2017;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Coordenação de Recursos Materiais – CRM;Série histórica da distribuição de Medicamentos em Unidade – Curitiba;Coordenação de Recursos Materiais;111;N;17-2;2009-2017;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Coordenação de Recursos Materiais – CRM;Distribuição de medicamentos em Unidade por quadrimestre - Curitiba;Coordenação de Recursos Materiais;112;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Coordenação de Recursos Materiais – CRM;Série histórica do número de Reuniões do Pleno do Conselho Municipal de Saúde de Curitiba;CMS;113;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Coordenação de Recursos Materiais – CRM;Série histórica do número de reuniões das Comissões do Conselho Municipal de Saúde de Curitiba;CMS;114;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Infraestrutura;Situação Obras;SMS/CAOB;115;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Infraestrutura;Reformas ocorridas na SMS;SMS/CAOB;116;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Ouvidoria da Saúde;Total de Manifestações realizadas na Ouvidoria da Saúde por período SMS Curitiba;Sistema BI;117;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Ouvidoria da Saúde;Total de Manifestações realizadas na Ouvidoria da Saúde por Equipamento SMS Curitiba;Sistema BI;117;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Ouvidoria da Saúde;Total e Percentual de Manifestações realizadas na Ouvidoria da Saúde referente aos Distritos Sanitários por período SMS Curitiba;Sistema BI;118;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Ouvidoria da Saúde;Total e Percentual de Solicitações realizadas na Ouvidoria da Saúde por Distrito Sanitário e período SMS Curitiba;Relatório Mensal da Ouvidoria;118;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Ouvidoria da Saúde;Total e Percentual de Elogios realizados na Ouvidoria da Saúde por Distrito Sanitário e período SMS Curitiba;Relatório Mensal da Ouvidoria.;119;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Ouvidoria da Saúde;Total e Percentual de Reclamações realizadas na Ouvidoria da Saúde por Distrito Sanitário e período SMS Curitiba;Sistema BI;119;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Ouvidoria da Saúde;Total e Percentual de Reclamações realizadas a Ouvidoria da Saúde referente aos Distritos Sanitários por Período e Subdivisão;Sistema BI;120;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Ouvidoria da Saúde;Total e Percentual de Manifestações realizadas na Ouvidoria da Saúde referente às US 24h por período SMS Curitiba;Sistema BI;121;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Ouvidoria da Saúde;Total e Percentual de Solicitações realizadas na Ouvidoria da Saúde por US 24h e período SMS Curitiba;Sistema BI;121;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Ouvidoria da Saúde;Total e Percentual de Elogios realizados na Ouvidoria da Saúde por US 24h e período SMS Curitiba;Sistema BI;121;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Ouvidoria da Saúde;Total e Percentual de Reclamações realizadas na Ouvidoria da Saúde por US 24h e período SMS Curitiba;Sistema BI;122;N;17-2;;;;;;;;;;;;;;;;;;;;;
GESTÃO DO SISTEMA DE SAÚDE;Ouvidoria da Saúde;Total e Percentual de Reclamações realizadas na Ouvidoria da Saúde referente às US24h por Período e Subdivisão;Sistema BI;123;N;17-2;;;;;;;;;;;;;;;;;;;;;
MONTANTE E FONTE DOS RECURSOS APLICADOS NO PERÍODO;Receitas por Origem – Blocos de Recursos;Receitas por Origem – Blocos De Recursos;NAF/SMS;125;N;17-2;Comparativo;;;;;;;;;;;;;;;;;;;;
MONTANTE E FONTE DOS RECURSOS APLICADOS NO PERÍODO;Receitas por Origem – Blocos de Recursos;Receitas por Origem – Blocos De Recursos;NAF/SMS;125;N;17-2;Gráfico;;;;;;;;;;;;;;;;;;;;
MONTANTE E FONTE DOS RECURSOS APLICADOS NO PERÍODO;Despesas pagas por Bloco de Recursos;Despesas Pagas Por Blocos De Recursos;NAF/SMS;126;N;17-2;Comparativo;;;;;;;;;;;;;;;;;;;;
MONTANTE E FONTE DOS RECURSOS APLICADOS NO PERÍODO;Despesas pagas por Bloco de Recursos;Despesas Pagas Por Blocos De Recursos;NAF/SMS;126;N;17-2;Gráfico;;;;;;;;;;;;;;;;;;;;
MONTANTE E FONTE DOS RECURSOS APLICADOS NO PERÍODO;Despesas pagas por categoria econômica;Despesas Por Categoria Econômica;NAF/SMS/SGP;127;N;17-2;Comparativo;;;;;;;;;;;;;;;;;;;;
MONTANTE E FONTE DOS RECURSOS APLICADOS NO PERÍODO;Despesas pagas por categoria econômica;Despesas Por Categoria Econômica;NAF/SMS;127;N;17-2;Gráfico;;;;;;;;;;;;;;;;;;;;
MONTANTE E FONTE DOS RECURSOS APLICADOS NO PERÍODO;Receitas por Componentes;Receitas por Componentes;Não citada;128;N;17-2;;;;;;;;;;;;;;;;;;;;;
MONTANTE E FONTE DOS RECURSOS APLICADOS NO PERÍODO;Despesas pagas por Detalhes;Despesas pagas por Detalhes;Não citada;129;N;17-2;;;;;;;;;;;;;;;;;;;;;
MONTANTE E FONTE DOS RECURSOS APLICADOS NO PERÍODO;Fundo Municipal;Balancete Financeiro do Periodo;NAF;130;N;17-2;Comparativo;;;;;;;;;;;;;;;;;;;;
MONTANTE E FONTE DOS RECURSOS APLICADOS NO PERÍODO;Fundo Municipal;Balancete Financeiro do Periodo;NAF;130;N;17-2;Gráfico;;;;;;;;;;;;;;;;;;;;
MONTANTE E FONTE DOS RECURSOS APLICADOS NO PERÍODO;Relatório Resumido da Execução Orçamentaria;DEMONSTRATIVO DA RECEITA DE IMPOSTOS E DESPESAS PRÓPRIAS COM SAÚDE;Portal da transparência Prefeitura de Curitiba;131-132;N;17-2;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Cobertura Vacinal;Cobertura vacinal em crianças menores de 1 ano da SMS/Curitiba;Centro de Epidemiologia/Central de Vacinas e RDQA;10;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Cobertura Vacinal;Cobertura vacinal em crianças de 1 ano da SMS/Curitiba;Centro de Epidemiologia/Central de Vacinas e RDQA;11;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Mortalidade Materna e Infantil;Número e proporção de investigação de óbitos de mulheres em idade fértil e óbitos maternos residentes em Curitiba;CE/CEV/SIM e RDQA;12;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Mortalidade Materna e Infantil;Número de Óbitos Infantis de residentes em Curitiba;CE/CEV/SIM/SINASC e RDQA;12;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Mortalidade Materna e Infantil;Taxa Mortalidade Infantil por faixa etária ;CE/CEV/SIM/SINASC;14;N;17-3;1998-2017 Grafico;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Mortalidade Materna e Infantil;Óbibtos infantis por DS/Faixa Etária;CE/CEV/SIM/SINASC;14;N;17-3;Grafico;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Mortalidade Materna e Infantil;Proporção de nascidos vivos de mães residentes em Curitiba com 7 ou mais consultas de pré-natal;CE/CEV/SINASC e RDQA;15;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Mortalidade Materna e Infantil;Porporção de 7 ou mais consultas de Pré Natal nos DS;CE/CEV/SINASC;16;N;17-3;Grafico;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Mortalidade Materna e Infantil;Total de partos ocorridos em Curitiba de mulheres residentes no município;CE/CEV/SINASC e RDQA;17;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Casos confirmados de agravos de notificação obrigatória;Série histórica leptospirose - SMS/Curitiba;CE/SINAN;18;N;17-3;2007-2017 Gráfico;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Casos confirmados de agravos de notificação obrigatória;Frequência de leptospirose por Distrito Sanitário residentes em Curitiba;CE/SINAN;18;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Casos confirmados de agravos de notificação obrigatória;Casos de dengue SMS;SINAN;19;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Casos confirmados de agravos de notificação obrigatória;Casos de atendimento antirrábico SMS;CE/SINAN;20;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Casos confirmados de agravos de notificação obrigatória;Número de atendimentos por doenças respiratórias nos Postos de Saúde e Unidade de Pronto Atendimento SMS/Curitiba;CE/BI;21;N;17-3;2013-2017;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Casos confirmados de agravos de notificação obrigatória;Número de casos de síndrome respiratória aguda grave (SRAG) – SMS/Curitiba;CE/SINAN;21;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Casos confirmados de agravos de notificação obrigatória;Série histórica do número de sintomáticos respiratórios examinados – SMS;Relatório mensal do Laboratório Municipal de Curitiba e GAL/SESA;23;N;17-3;2013-2017;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Casos confirmados de agravos de notificação obrigatória;Taxa de casos de tuberculose por Distrito Sanitário e população da área de abrangência - SMS Curitiba;CE/SINAN;23;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Casos confirmados de agravos de notificação obrigatória;Número de Casos de tuberculose em acompanhamento, abandono e cura por Distrito Sanitário na SMS;CE/SINAN;24;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Casos confirmados de agravos de notificação obrigatória;Porcentagem de sorologia para HIV em caso confirmado de Tuberculose;SINAN NET;24;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Casos confirmados de agravos de notificação obrigatória;Número de casos HIV, AIDS e AIDS/HIV por quadrimestre em Curitiba;SINAN NET;25;N;17-3;2013-2017;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Casos confirmados de agravos de notificação obrigatória;Número de casos novos de Aids em crianças < de 5 anos em Curitiba;SINAN NET;25;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Casos confirmados de agravos de notificação obrigatória;Gestantes com diagnóstico de sífilis e tratamento adequado por período;CE/SINAN;26;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Casos confirmados de agravos de notificação obrigatória;Gestantes com diagnóstico de sífilis segundo Distrito Sanitário de residência e Faixa etária;CE/SINAN;26;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Casos confirmados de agravos de notificação obrigatória;Gestantes com diagnóstico de sífilis com tratamento inadequado, segundo Distrito Sanitário de residência e Faixa etária;CE/SINAN;27;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Casos confirmados de agravos de notificação obrigatória;Taxa de casos de gestante com sífilis por Distrito Sanitário e população de Mulheres em idade fértil (10 a 49 anos) da área de abrangência;CE/SINAN;27;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Casos confirmados de agravos de notificação obrigatória;Número de casos de sífilis congênita SMS/Curitiba;CE/SINAN;28;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Condições Sensíveis à Atenção Básica;Internamento geral e por Condições Sensíveis Atenção Básica, de residentes Curitiba;Sistema de Internação Hospitalar/DATASUS;29;N;17-3;2014 - 2016 por bimestre;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Condições Sensíveis à Atenção Básica;Proporção de internações por condições sensíveis à atenção básica (ICSAB) por bimestre – SMS/Curitiba;Sistema de Internação Hospitalar/DATASUS;29;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Internações por Infarto Agudo do Miocárdio, Acidente Vascular Cerebral e Diabetes;Número de internações por infarto agudo do miocárdio, AVC e Diabetes mellitus, residente em Curitiba;Sistema de Internação Hospitalar/DATASUS;30;N;17-3;2012 - 2017;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Internações por Infarto Agudo do Miocárdio, Acidente Vascular Cerebral e Diabetes;"Número de internações por Infarto Agudo do Miocárdio (IAM), Acidente Vascular cerebral (AVC) e
Diabetes mellitus, em residentes em Curitiba";Sistema de Internação Hospitalar/DATASUS;30;N;17-3;2012 - 2017 Gráfico;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Internações por Infarto Agudo do Miocárdio, Acidente Vascular Cerebral e Diabetes;Proporção de óbitos por Infarto nas Internações por IAM, segundo ano, > 20 anos, residentes em Curitiba;Sistema de Internação Hospitalar/DATASUS;31;N;17-3;2008 - 2017;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Internações por Infarto Agudo do Miocárdio, Acidente Vascular Cerebral e Diabetes;Mortes prematuras por doenças crônicas não transmissíveis e seu percentual SMS/Curitiba;SIM/SESA;31;N;17-3;2014-2017;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Internações por Infarto Agudo do Miocárdio, Acidente Vascular Cerebral e Diabetes;Percentual de morte prematura (30 a 69 anos);SIM/SESA;32;N;17-3;2014-2017 gráfico;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Internações por Infarto Agudo do Miocárdio, Acidente Vascular Cerebral e Diabetes;Percentual de mortes prematuras entre as mortes por doenças crônicas não transmissíveis segundo grupo;SIM/SESA;32;N;17-3;2012-2017 gráfico;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Internações por Infarto Agudo do Miocárdio, Acidente Vascular Cerebral e Diabetes;Percentual de óbitos prematuros (de 30 a 69 anos) por neoplasia, segundo CID10 – Curitiba;SIM;33;N;17-3;Gráfico;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Notificações de casos de violência;Número de notificações de violência segundo grupos de risco - Residentes em Curitiba;SINAN;33;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Mortalidade por Acidentes de Trânsito;Número de óbitos por acidentes de trânsito ocorridos em Curitiba;Programa Vida no Trânsito;34;N;17-3;2011-2017;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Informações do Registro de Câncer de Base Populacional de Curitiba;Distribuição das taxas de incidência por 100.000 homens para os principais Tumores Malignos Distrito Sanitário de Curitiba;RCBP de Curitiba;35;N;17-3;2010-2012 gráfico;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Informações do Registro de Câncer de Base Populacional de Curitiba;Distribuição das taxas de incidência por 100.000 mulheres para os principais Tumores Malignos Distrito Sanitário de Curitiba;RCBP de Curitiba;35;N;17-3;2010-2012 gráfico;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Promoção;Cronograma de capacitação Vida no Transito com as equipes da saúde de Curitiba;Promoção/SMS;36;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Vigilância Epidemiológica;Promoção;Núcleo de Promoção de Saúde - SMS Capacitação com os Idosos/ Projeto Vida no Trânsito/Comissão de Educação- SETRAN e ANAMOB;Promoção/SMS;37;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Centro de Saúde Ambiental;INSPEÇÕES REALIZADAS PELOS DISTRITOS SANITÁRIOS;Total de inspeções sanitárias realizadas por Distrito Sanitário SMS/Curitiba;Centro de Saúde Ambiental/SIMIVISA/E-SAÚDE;38;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Centro de Saúde Ambiental;INSPEÇÕES REALIZADAS POR TIPO DE SERVIÇO;Total de inspeções sanitárias realizadas pelos Distritos Sanitários segundo tipo de Serviço – SMS/Curitiba;Centro de Saúde Ambiental/SIMIVISA;39;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Centro de Saúde Ambiental;LICENÇAS SANITÁRIAS LIBERADAS SEPARADAS POR TIPO DE SERVIÇO;Licenças sanitárias emitidas por tipo de serviço- SMS/Curitiba;Centro de Saúde Ambiental/SIMIVISA/E-SAÚDE;40;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Centro de Saúde Ambiental;DENÚNCIAS RECEBIDAS;Ramo de atividades mais denunciadas à Vigilância Sanitária no Município de Curitiba;Centro de Saúde Ambiental/SIMIVISA/E-SAÚDE;40;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Centro de Saúde Ambiental;DENÚNCIAS RECEBIDAS;Situações ambientais mais denunciadas à Vigilância Sanitária Municipal de Curitiba;Centro de Saúde Ambiental/SIMIVISA;41;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Centro de Saúde Ambiental;MEDIDAS ADMINISTRATIVAS;Medidas Administrativas efetivadas pelos Distritos Sanitários;Centro de Saúde Ambiental/SIMIVISA;41;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Centro de Saúde Ambiental;Vigilância Sanitária - VISA;Programa Estadual De Análise De Resíduos De Agrotóxicos Em Alimentos (Paraná-Pr);CSA;44;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Centro de Saúde Ambiental;Vigilância Sanitária - VISA - SETOR DE ENGENHARIA;Ações setor de Engenharia – VISA Curitiba;VISA/Engenharia;45;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Centro de Saúde Ambiental;Vigilância Sanitária - VISA - SETOR DE ENGENHARIA;PRAZO DE RETORNO AO ESTABELICMENTO;VISA/Engenharia;46;N;17-3;Gráfico;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Centro de Saúde Ambiental;Programa Municipal de Controle do Aedes;Ações desenvolvidas no quadrimestre contra o mosquito Aedes Aegypti;CSA;47;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Centro de Saúde Ambiental;Programa Municipal de Controle do Aedes;Focos positivos para Aedes aegypti em Curitiba;SMS/Centro de Saúde Ambiental/Programa Municipal de Controle do Aedes;48;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Centro de Saúde Ambiental;Programa Municipal de Controle do Aedes;Focos positivos para Aedes aegypti em Curitiba;SMS/Centro de Saúde Ambiental/Programa Municipal de Controle do Aedes;48;N;17-3;Gráfico;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Centro de Saúde Ambiental;Ações de vigilância, prevenção e controle de zoonoses e vetores;Atendimento à população - Vigilância da Leptospirose;Centro de Saúde Ambiental - Unidade de Vigilância de Zoonoses;49;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Centro de Saúde Ambiental;Ações de vigilância, prevenção e controle de zoonoses e vetores;Ações de prevenção e controle da raiva – SMS Curitiba;Centro de Saúde Ambiental – Unidade de Vigilância de Zoonoses;50;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Centro de Saúde Ambiental;Ações de vigilância, prevenção e controle de zoonoses e vetores;Atendimento à população - Vigilância e Controle da Fauna Sinantrópica;Centro de Saúde Ambiental – Unidade de Vigilância de Zoonoses;51;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Centro de Saúde Ambiental;Ações de vigilância, prevenção e controle de zoonoses e vetores;Ações de outras zoonoses desenvolvidas SMS Curitiba;Centro de Saúde Ambiental – Unidade de Vigilância de Zoonoses;51;N;17-3;;;;;;;;;;;;;;;;;;;;;
VIGILÂNCIA EM SAÚDE - Produção da Vigilância em Saúde - Centro de Saúde Ambiental;Ações de vigilância, prevenção e controle de zoonoses e vetores;Educação em Saúde - Unidade de Vigilância de Zoonoses SMS;Unidade de Vigilância de Zoonoses;52;N;17-3;;;;;;;;;;;;;;;;;;;;;
